Facility,Address,Y,X
UPMC Children's ,"4401 Penn Avenue Pittsburgh, PA 15224",40.467315,-79.95359
UPMC Magee,"300 Halkett Street Pittsburgh, PA 15213",40.436889,-79.9607
UPMC McKeesport,"1500 5th Avenue McKeesport, PA 15132",40.351343,-79.849457
UPMC Mercy,"1400 Locust Street Pittsburgh, PA 15219",40.436137,-79.985285
UPMC Passavant,"9100 Babcock Boulevard Pittsburgh, PA 15237",40.573319,-80.014525
UPMC Presbyterian,"3601 Fifth Avenue Pittsburgh, PA  15213",40.441544,-79.959356
UPMC Shadyside,"5230 Center Ave Pittsburgh, PA  15232",40.454845,-79.939793
UPMC St. Margaret's,"815 Freeport Road Pittsburgh, PA 15215",40.489286,-79.895994
UPMC East,"2775 Mosside Boulevard Monroeville, PA 15146",40.436561,-79.760197
Allegheny General Hospital,"AGH 320 E. North Ave, PGH 15212",40.45701,-80.003724
Allegheny Valley Hospital,"Allegheny Valley 1301 Carlisle Street, Natrona Heights, PA 15065",40.619129,-79.737849
Forbes Regional Hospital,"Forbes Regional 2570 Haymaker Rd, Monroeville, PA 15146",40.427585,-79.747217
West Penn Hospital,"West Penn 4800 Friendship Ave, PGH 15224",40.461453,-79.946364
VA Pittsburgh Hospital,"VA Pittsburgh 4100 Allequippa St, PGH 15261",40.447391,-79.959788
Heritage Valley Hospital,"Heritage Valley Sewickley 720 Blackburn Rd, Sewickley, PA 15143",40.543454,-80.177601
Jefferson Regional Hospital,"Jefferson Regional 565 Coal Valley Rd, Clairton, PA 15025",40.31844,-79.933488
Ohio Valley Hospital,"Ohio Valley 25 Heckel Rd, McKees Rocks, PA 15136",40.472755,-80.090742
St Clair Hospital,"St. Clair 1000 Bower Hill Rd, PGH 15243",40.378099,-80.06661
Health South Rehab Sewickly,"303 Camp Meeting Rd, Sewickley, PA 15143",40.576315,-80.203135
Southwood Psychatric Hospital,"2575 Boyce Plaza Rd, Pittsburgh, PA 15241",40.321195,-80.112625
Lifecare Hospital of Monroville,"2380 McGinley Road, Monroeville, PA 15146",40.424369,-79.745967
Health South  Harmaville Rehabilitaiton ,"320 Guys Run Rd, Pittsburgh, PA 15238",40.536213,-79.849228
Lifecare Hospital of PGH Suburban,"100 S Jackson Ave, Pittsburgh, PA 15202",40.494569,-80.060335
